id,title,owner_role,task,depends_on,required_files,validate_cmds
PO-901,第九轮范围与验收拆解,project_owner,"根据第八轮结果，把第九轮重点收敛为 intelligence retrieval v2 + prompt/tag quality。要求明确：保留现有 provider-backed intelligence、identity governance、Passkey/social contract，不回退认证治理；浏览器自动化按用户要求继续交由手工 UI 验收，不作为本轮阻塞。",,docs/requirements.md;docs/design.md;docs/self-research.md,
PO-902,第九轮队列固化,project_owner,"把第九轮队列重写为 intelligence tag sync、AI retrieval ranking v2、Prompt V2、search/detail explainability、ops/qa/security/reviewer gate，并继续统一使用重建后的 lsky-pro-custom:php83 做验证。",PO-901,queue/tasks.csv;docs/context-compact.md;docs/advanced-features.md,
BE-901,Intelligence tag sync and corpus enrichment,backend,"你负责把 provider-backed intelligence 的 labels/keywords/summary 进一步规范成可持续同步的搜索语料。目标：补齐定时 tag/term 同步、去重/可见性规则和图像域搜索可消费的 intelligence corpus。你不孤单，不要回退别人的修改。",PO-902,docs/documentation.md,"docker run --rm --entrypoint sh -v /opt/1panel/apps/lsky-pro:/app -w /app lsky-pro-custom:php83 -lc './vendor/bin/phpunit tests/Feature/Intelligence/AiSearchReadSideTest.php'"
BE-902,AI retrieval ranking and Prompt V2 backend,backend,"你负责重构 AI 检索与提示词构建：基于 intelligence payload、OCR、manual tags、origin_name 做 ranking v2，并升级 prompt context 生成更详细的方向/构图/风格提示。你不孤单，不要回退别人的修改。",PO-902;BE-901,docs/documentation.md,"docker run --rm --entrypoint sh -v /opt/1panel/apps/lsky-pro:/app -w /app lsky-pro-custom:php83 -lc './vendor/bin/phpunit tests/Feature/Intelligence/AiSearchReadSideTest.php tests/Feature/Intelligence/AiPromptContextBuilderTest.php'"
FE-901,AI search and detail explainability UI,frontend,"你负责把 `/advanced` AI 搜索和单图 intelligence 说明做成可解释界面。目标：展示 tag sync 状态、AI 命中依据、Prompt V2 摘要，同时不丢现有搜索/详情能力。你不孤单，不要回退别人的修改。",PO-902;BE-901;BE-902,docs/documentation.md,manual-ui-check
OP-901,Intelligence sync scheduler and runbook,devops,"你负责为 intelligence tag sync / retrieval v2 输出 scheduler、批量回填、失败排查和上线 runbook，明确 rebuilt image、队列与人工 UI 验收的配合方式。",BE-901;BE-902,docs/documentation.md,"docker run --rm --entrypoint sh -v /opt/1panel/apps/lsky-pro:/app -w /app lsky-pro-custom:php83 -lc 'php artisan schedule:list && php artisan route:list --path=advanced-api'"
QA-901,第九轮 intelligence 检索与 Prompt 回归证据,qa,"为 tag sync、AI retrieval ranking v2、Prompt V2 和 explainability UI 输出回归证据，区分已自动化覆盖、镜像内 focused suite 和待人工 UI 验收矩阵。",BE-901;BE-902;FE-901;OP-901,docs/documentation.md,"docker run --rm --entrypoint sh -v /opt/1panel/apps/lsky-pro:/app -w /app lsky-pro-custom:php83 -lc './vendor/bin/phpunit tests/Feature/Intelligence/AiSearchReadSideTest.php tests/Feature/Intelligence/AiPromptContextBuilderTest.php tests/Feature/User/ImageDetailIntelligenceTest.php'"
SE-901,Intelligence retrieval and prompt data exposure audit,security,"审查 intelligence corpus、Prompt V2、检索解释和定时同步的泄漏/投毒风险，重点关注 provider 响应透传、敏感 OCR 暴露和 operator 误操作。",BE-901;BE-902,docs/documentation.md,"docker run --rm --entrypoint sh -v /opt/1panel/apps/lsky-pro:/app -w /app lsky-pro-custom:php83 -lc 'php artisan route:list --path=advanced-api'"
RV-901,第九轮评审门禁,reviewer,"以代码评审模式检查第九轮产出，优先关注：AI 检索是否真的比现有 keyword/term 拼装更强、Prompt V2 是否诚实反映 intelligence 来源、tag sync 是否污染 manual tags，以及第八轮认证治理是否被破坏。",OP-901;QA-901;SE-901,docs/documentation.md,
PO-903,下一轮再规划,project_owner,"在 reviewer gate 通过后，更新 docs/self-research.md、docs/advanced-features.md、docs/iteration-log.md，并继续改写下一轮 queue/tasks.csv。",RV-901,docs/self-research.md;docs/advanced-features.md;docs/iteration-log.md,
